,DATE,OUTFLOW,INFLOW,CATEGORY,ACCOUNT,MEMO,STATUS,UUID
,01/12/2020,"€0,00","€5,00",,💰 Checking,,✅,
,02/12/2020,"€1,50","€0,00",,💰 Checking,,✅,
,03/12/2020,"€14,67","€0,00",,💰 Checking,,✅,
,04/12/2020,"€15,00","€50,00",,💰 Checking,,✅,
,06/12/2020,"€0,00","€684,82",➡️ Starting Balance,💰 Checking,Prenda Tios fim do curso + Prenda Mãe fim do curso,✅,
,07/12/2020,"€21,00","€0,00",G,💰 Checking,G Salty,✅,
,08/12/2020,"€0,00","€8,00",Available to budget,💰 Checking,,✅,
,09/12/2020,"€10,00","€0,00",Available to budget,💰 Checking,,✅,
,10/12/2020,"€0,00","€4,00",Available to budget,💰 Checking,,✅,
,11/12/2020,"€0,00","€8,00",Available to budget,💰 Checking,,✅,
,12/12/2020,"€0,00","€1,25",Available to budget,💰 Checking,,✅,
,13/12/2020,"€14,00","€0,00",Fun Money,💰 Checking,Transf Salty,✅,
,14/12/2020,"€0,50","€0,00",Available to budget,💰 Checking,,✅,
,15/12/2020,"€0,00","€14,00",Fun Money,💰 Checking,Transf Salty,✅,
,16/12/2020,"€12,00","€0,00",Available to budget,💰 Checking,,✅,
,17/12/2020,"€0,00","€35,00",Available to budget,💰 Checking,,✅,
,18/12/2020,"€50,00","€0,00",Available to budget,💰 Checking,,✅,
,19/12/2020,"€0,00","€50,00",Available to budget,💰 Checking,,✅,
,20/12/2020,"€150,00","€0,00",Fun Money,💰 Checking,Televisão,✅,
,21/12/2020,"€90,00","€0,00",Fun Money,💰 Checking,Televisão,✅,
,22/12/2020,"€0,00","€125,00",Available to budget,💰 Checking,Servomotor,✅,
,23/12/2020,"€11,17","€0,00",Available to budget,💰 Checking,,✅,
,24/12/2020,"€41,56","€0,00",Available to budget,💰 Checking,,✅,
,25/12/2020,"€0,00","€41,56",Available to budget,💰 Checking,,✅,
,26/12/2020,"€16,00","€0,00",Available to budget,💰 Checking,,✅,
,27/12/2020,"€87,93","€80,00",Available to budget,💰 Checking,Prenda Tio Mário,✅,
,28/12/2020,"€0,00","€15,00",Available to budget,💰 Checking,,✅,
,29/12/2020,"€14,95","€150,00",Available to budget,💰 Checking,Prenda de Natal Mãe,✅,
,30/12/2020,"€10,98","€110,00",Available to budget,💰 Checking,Servomotor,✅,
,31/12/2020,"€120,00","€594,22",Available to budget,💰 Checking,Servomotor Abílio + Vencimento,✅,
,01/01/2021,"€0,00","€0,00",Available to budget,💰 Checking,,✅,
,02/01/2021,"€0,00","€0,00",Available to budget,💰 Checking,,✅,
,03/01/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,04/01/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,05/01/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,06/01/2021,"€5,00","€0,00",Available to budget,💰 Checking,,✅,
,07/01/2021,"€200,00","€0,00",Available to budget,💰 Checking,Revolut (Ações/Cripto),✅,
,07/01/2021,"€0,00","€200,00",➡️ Starting Balance,💳 Revolut,Revolut (Ações/Cripto),✅,
,08/01/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,09/01/2021,"€10,00","€0,00",Available to budget,💰 Checking,,✅,
,10/01/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,11/01/2021,"€14,00","€0,00",G,💰 Checking,G,✅,
,12/01/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,13/01/2021,"€0,00","€43,49",Available to budget,💰 Checking,Devolução Massajador,✅,
,14/01/2021,"€12,80","€0,00",Available to budget,💰 Checking,Fatia da Rita - Massajador,✅,
,15/01/2021,"€11,00","€0,00",Cell Phone Bill,💰 Checking,Mensalidade 91,✅,
,16/01/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,17/01/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,18/01/2021,"€15,35","€0,00",Fun Money,💰 Checking,10 paus Amberleaf + Prenda Pati,✅,
,19/01/2021,"€25,00","€0,00",Clothing,💰 Checking,Suspensórios,✅,
,20/01/2021,"€227,99","€122,97",Fun Money,💰 Checking,WH-1000xm3,✅,
,21/01/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,22/01/2021,"€14,00","€0,00",G,💰 Checking,G,✅,
,23/01/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,24/01/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,25/01/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,26/01/2021,"€15,00","€0,00",Available to budget,💰 Checking,Ações Nokia,✅,
,27/01/2021,"€0,00","€0,00",↕️ Account Transfer,💰 Checking,,✅,
,28/01/2021,"€249,70","€0,00",Fun Money,💰 Checking,WH-1000xm4,✅,
